tD,WeD,PD_>100,PD_Lee,PD_Fanchi,PD_Edw.,PD-used,,,Min.,Max.,Diff.,Mean,SD
0,0,#NUM!,#NUM!,#NUM!,0,0,,tD,0,2E+12,2E+12,1.81E+10,1.35E+11
55,26.791,2.408201593,2.433922144,2.421932166,2.43390755,2.43390755,,,,,,,
56,27.174,2.417210845,2.442660429,2.430944275,2.442542579,2.442542579,,,,,,,
57,27.555,2.426060634,2.451249079,2.439808576,2.451029835,2.451029835,,,,,,,
58,27.935,2.434756505,2.459693085,2.448529896,2.459374317,2.459374317,,,,,,,
59,28.314,2.443303722,2.467997194,2.457112825,2.467580777,2.467580777,,,,,,,
60,28.691,2.451707281,2.476165918,2.465561732,2.475653732,2.475653732,,,,,,,
61,29.068,2.459971932,2.484203556,2.473880779,2.483597478,2.483597478,,,,,,,
62,29.443,2.468102193,2.492114204,2.482073934,2.49141611,2.49141611,,,,,,,
63,29.818,2.476102363,2.499901767,2.49014498,2.499113528,2.499113528,,,,,,,
64,30.192,2.483976542,2.507569973,2.498097533,2.506693453,2.506693453,,,,,,,
65,30.565,2.491728635,2.515122381,2.505935044,2.514159435,2.514159435,,,,,,,
66,30.937,2.499362371,2.522562395,2.513660814,2.521514868,2.521514868,,,,,,,
67,31.308,2.50688131,2.529893268,2.521278004,2.528762994,2.528762994,,,,,,,
68,31.679,2.514288853,2.537118116,2.528789636,2.535906913,2.535906913,,,,,,,
69,32.048,2.521588252,2.544239919,2.536198609,2.542949595,2.542949595,,,,,,,
70,32.417,2.528782621,2.551261538,2.543507699,2.549893883,2.549893883,,,,,,,
71,32.785,2.535874939,2.558185711,2.550719572,2.556742501,2.556742501,,,,,,,
72,33.151,2.54286806,2.565015069,2.557836784,2.563498061,2.563498061,,,,,,,
73,33.517,2.549764721,2.571752135,2.564861792,2.57016307,2.57016307,,,,,,,
74,33.883,2.556567547,2.578399335,2.571796955,2.576739935,2.576739935,,,,,,,
75,34.247,2.563279057,2.584958997,2.578644542,2.583230966,2.583230966,,,,,,,
76,34.611,2.56990167,2.591433363,2.585406735,2.589638385,2.589638385,,,,,,,
77,34.974,2.576437711,2.597824587,2.592085636,2.595964328,2.595964328,,,,,,,
78,35.336,2.582889413,2.604134745,2.598683266,2.60221085,2.60221085,,,,,,,
79,35.697,2.589258926,2.610365834,2.605201573,2.608379929,2.608379929,,,,,,,
80,36.058,2.595548317,2.616519779,2.611642437,2.614473468,2.614473468,,,,,,,
81,36.418,2.601759577,2.622598435,2.618007666,2.620493303,2.620493303,,,,,,,
82,36.777,2.607894624,2.628603593,2.62429901,2.626441203,2.626441203,,,,,,,
83,37.136,2.613955304,2.634536977,2.630518153,2.632318873,2.632318873,,,,,,,
84,37.494,2.619943399,2.640400255,2.636666723,2.638127958,2.638127958,,,,,,,
